responsavel;valor_impositivo_inicial_loa;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago
CHARLES SANTOS;10708256,7;9154328,55;9154328,55;8548395,34;8548395,34
DALMO RIBEIRO SILVA;10708256,7;9636784,239999998;9636784,239999998;8839565,579999998;8839565,579999998
GUILHERME DA CUNHA;10708256,7;9665623,15;9665623,15;8310114,37;8310114,37
ANDREIA DE JESUS;10708256,7;9743349,35;9743349,35;9734929,67;9308087,67
ZÉ REIS;10708256,7;9805586,82;9805586,82;9458386,82;9458386,82
BRUNO ENGLER;10708256,7;10145883,100000001;10145883,100000001;7920119,7;7309766,630000001
MAURO TRAMONTE;10708256,700000001;10217941,32;10217941,32;9057869,51;9048385,870000001
VIRGILIO GUIMARAES;10708256,7;10239711,67;10239711,67;10239711,67;10239711,67
LAURA SERRANO;10708256,7;10250493,28;10250493,28;8500493,28;7250493,279999999
ANA PAULA SIQUEIRA;10708256,7;10363577,02;10363577,02;9841374,62;9641374,12
BEATRIZ CERQUEIRA;10708256,7;10371068,889999999;10371068,889999999;9808429,19;9367341,299999999
LENINHA;10708256,7;10482505,75;10482505,75;10332924,34;10332924,34
BERNARDO MUCIDA;10708256,7;10497380,979999999;10497380,979999999;8696711,759999998;8694121,199999997
CORONEL HENRIQUE;10708256,7;10499010,97;10499010,97;10468217,25;10439320,75
LEONIDIO BOUCAS;10708256,7;10508718,54;10508718,54;10508718,54;10508718,54
INACIO FRANCO;10708256,700000001;10547780,529999997;10547780,529999997;10320891,619999997;10320891,619999997
DELEGADO HELI GRILO;10708256,7;10549181,479999999;10549181,479999999;9500451,979999999;9439279,06
Bloco Democracia e Luta;57470140,660000004;56667330,38000002;56667330,38000002;54634043,38000002;52584056,38000001
IONE PINHEIRO;10708256,7;10559067,76;10559067,76;10323253,319999998;10320263,319999998
BETAO;10708256,7;10559788,09;10559788,09;10409793,84;10209793,84
ANDRE QUINTAO;10708256,700000001;10582923,12;10582923,12;10431298,309999999;10312715,299999999
Bloco Minas São Muitas;131843263,78999999;130333223,31999984;130333223,31999984;124868653,93999986;123892502,46999986
Bloco Deputado Luiz Humberto Carneiro;70992526,70000002;70209106,42000003;70209106,42000003;66290209,980000034;64209137,950000025
ARNALDO SILVA;10708256,700000001;10599369,16;10599369,16;10010587,88;9904402,88
SARGENTO RODRIGUES;10708256,700000001;10600318,840000004;10600318,840000004;6417267,609999999;6163379,369999999
GUSTAVO VALADARES;10708256,7;10607552,54;10607552,54;10607552,54;10607552,54
DOUGLAS MELO;10708256,7;10621447,239999998;10621447,239999998;10118985,239999998;10118985,239999998
OSVALDO LOPES;10708256,7;10624994,54;10624994,54;10624994,54;10624994,54
CORONEL SANDRO;10708256,7;10629795,49;10629795,49;9803309,33;9753266,24
PROFESSOR IRINEU;10708256,7;10639994,54;10639994,54;10639994,54;10639994,54
GIL PEREIRA;10708256,7;10647657,219999999;10647657,219999999;10503403,54;10503403,54
PROFESSOR WENDEL MESQUITA;10708256,7;10654813,52;10654813,52;10316161,39;10254451,469999999
HELY TARQUINIO;10708256,700000001;10655754,959999999;10655754,959999999;10165383,62;10165383,62
TITO TORRES;10708256,7;10658308,35;10658308,35;10357417,76;10354739,26
DOUTOR WILSON BATISTA;10708256,7;10658771,42;10658771,42;10636191,42;10636191,42
FERNANDO PACHECO;10708256,7;10659721,19;10659721,19;10364721,19;10364721,19
CASSIO SOARES;10708256,7;10660947,809999999;10660947,809999999;10518459,809999999;10518459,809999999
BARTO;10708256,7;10663702,66000001;10663702,66000001;8388731,879999995;8136199,279999997
ZÉ GUILHERME;10708256,7;10665480,69;10665480,69;10585480,69;10585480,69
ELISMAR PRADO;10708256,7;10665854,35;10665854,35;10365554,35;10365554,35
BETINHO PINTO COELHO;10708256,7;10669042,54;10669042,54;10669042,54;10669042,54
CARLOS PIMENTA;10708256,700000001;10673861,32;10673861,32;10345525,6;10345525,6
ANTONIO CARLOS ARANTES;10708256,7;10676327,719999999;10676327,719999999;10306135,54;10306135,54
ULYSSES GOMES;10708256,7;10678706,969999999;10678706,969999999;10527475,969999999;10527475,969999999
SAVIO DE SOUZA CRUZ;10708256,700000001;10680744,7;10680744,7;9998256,7;9998256,7
BOSCO;10708256,7;10681026,52;10681026,52;10681026,52;10681026,52
CELINHO DO SINTTROCEL;10708256,7;10686578,209999999;10686578,209999999;10532478,03;10530428,03
ROSANGELA REIS;10708256,7;10686792,620000001;10686792,620000001;10364839,82;10364839,82
DOORGAL ANDRADA;10708256,7;10687256,7;10687256,7;10478256,7;10478256,7
PROFESSOR CLEITON;10708256,7;10688122,139999999;10688122,139999999;10536891,139999999;10536891,139999999
GLAYCON FRANCO;10708256,7;10689379,620000001;10689379,620000001;10546891,620000001;10546891,620000001
CELISE LAVIOLA;10708256,7;10689891,62;10689891,62;10306891,62;10306891,62
TADEU MARTINS LEITE;10708256,7;10692623,62;10692623,62;10692623,62;10692623,62
JOAO LEITE;10708256,7;10696303,91;10696303,91;10249615,879999999;10233843,28
ALENCAR DA SILVEIRA JR.;10708256,700000001;10698274,16;10698274,16;10015526,540000001;10015526,540000001
FABIO AVELAR DE OLIVEIRA;10708256,7;10701330,920000002;10701330,920000002;10701330,920000002;10701330,920000002
LEANDRO GENARO;10708256,7;10701335,36;10701335,36;10701335,36;10701335,36
GUSTAVO MITRE;10708256,7;10702475,889999999;10702475,889999999;10702475,889999999;10681975,889999999
ARLEN SANTIAGO;10708256,7;10703839,259999998;10703839,259999998;10703839,259999998;10703839,259999998
DOUTOR PAULO;10708256,7;10705031,820000004;10705031,820000004;10703769,060000006;10703769,060000006
LEO PORTELA;10708256,7;10705402,86;10705402,86;10658392,149999999;10658392,149999999
GUSTAVO SANTANA;10708256,7;10705448,92;10705448,92;10704248,92;10704248,92
CARLOS HENRIQUE;10708256,7;10705526,54;10705526,54;10505526,54;10505526,54
AGOSTINHO PATRUS FILHO;10708256,7;10705526,54;10705526,54;10705526,54;10705526,54
BRAULIO BRAZ;10708256,7;10705526,54;10705526,54;10705526,54;10705526,54
CLEITINHO AZEVEDO;10708256,7;10705526,54;10705526,54;10705526,54;10705526,54
DELEGADA SHEILA;10708256,7;10705526,54;10705526,54;10705526,54;10705526,54
JOAO MAGALHAES;10708256,7;10705526,54;10705526,54;10705526,54;10705526,54
NORALDINO JUNIOR;10708256,7;10705526,54;10705526,54;10705526,54;10705526,54
ROBERTO ANDRADE;10708256,7;10705526,54;10705526,54;10705526,54;10705526,54
NEILANDO PIMENTA;10708256,7;10705526,540000001;10705526,540000001;10705526,540000001;10705526,540000001
RAUL BELÉM;10708256,7;10706846,62;10706846,62;10661374,12;10661374,12
JOAO VITOR XAVIER;10708256,7;10706891,62;10706891,62;10506891,62;10506891,62
MARIO HENRIQUE CAIXA;10708256,7;10706891,62;10706891,62;10506891,62;10506891,62
CRISTIANO SILVEIRA;10708256,7;10706891,62;10706891,62;10706891,62;10706891,62
DOUTOR JEAN FREIRE;10708256,7;10706891,62;10706891,62;10706891,62;10706891,62
DUARTE BECHIR;10708256,7;10706891,62;10706891,62;10706891,62;10706891,62
MARQUINHO LEMOS;10708256,7;10706891,62;10706891,62;10706891,62;10706891,62
REPORTER RAFAEL MARTINS;10708256,7;10706891,62;10706891,62;10706891,62;10706891,62
THIAGO COTA;10708256,7;10706891,62;10706891,62;10706891,62;10706891,62
TOTAL GERAL;1084841697,0500023;1070416365,0899998;1070416365,0899998;1030661870,6799997;1021437300,1399997
;;;;;
"Nota: Cálculos realizados apenas com as indicações com status ""Aprovado"" e ""Enviada para SEE"".";;;;;
