responsavel;valor_impositivo_inicial_loa;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago
RAUL BELÉM;23916737,0;23724223,500000004;23724223,500000004;23676979,500000004;23676979,500000004
RICARDO CAMPOS;23916737,0;23916737,000000004;23916737,000000004;23883947,62;23883947,62
ROBERTO ANDRADE;23916737,0;23916737,000000004;23916737,000000004;23916737,000000004;23916737,000000004
RODRIGO LOPES;23916737,0;23370949,49;23370949,49;22471935,2;22471935,2
SARGENTO RODRIGUES;23916737,0;23704946,530000005;23704946,530000005;20811460,98;20382220,44
TADEU MARTINS LEITE;23916737,0;23912877,859999992;23912877,859999992;23633937,289999995;23627285,129999995
THIAGO COTA;23916737,0;23481736,290000003;23481736,290000003;23466695,290000003;23466695,290000003
TITO TORRES;23916737,0;23884133,16;23884133,16;22920768,68;22920768,68
ULYSSES GOMES;23916737,0;23892669,79;23892669,79;23892669,79;23892669,79
VITÓRIO JÚNIOR;23916737,0;23716277,36;23716277,36;23716277,36;23716277,36
ZÉ GUILHERME;23916737,0;23622347,820000008;23622347,820000008;23381670,570000008;23381670,570000008
ZÉ LAVIOLA;23916737,0;23822548,43;23822548,43;23556248,23;23516048,43
TOTAL GERAL;2168324389,0;2144976338,97;2144976338,97;2115470826,1099994;2112898532,5399995
;;;;;
"Nota: Cálculos realizados apenas com as indicações com status ""Aprovado"" e ""Enviada para SEE"".";;;;;
