responsavel;valor_impositivo_inicial_loa;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago
ADRIANO ALVARENGA;17806359,0;17747505,82;17747505,82;16048996,84;15016559,700000001
ALÊ PORTELA;17806359,0;17794325,31;17794325,31;16677886,600000001;16158394,79
ALENCAR DA SILVEIRA JR.;17806359,0;17798545,119999997;17798545,119999997;17364883,72;17320300,410000004
ANA PAULA SIQUEIRA;17806359,0;17637026,479999997;17637026,479999997;16917931,72;16847089,36
ANDREIA DE JESUS;17806359,0;17412444,19;17412444,19;15225383,969999999;15142710,790000001
ANTONIO CARLOS ARANTES;17806359,0;17645142,410000004;17645142,410000004;17287909,2;17063996,740000002
ARLEN SANTIAGO;17806359,0;17805133,96;17805133,96;17722889,46;17722889,46
ARNALDO SILVA;17806359,0;17742367,52;17742367,52;17005811,5;17005811,5
BEATRIZ CERQUEIRA;17806359,0;17605555,77;17605555,77;17396301,0;17376907,34
BELLA GONÇALVES;17806359,0;17407407,099999998;17407407,099999998;16096594,74;16091513,209999999
BETAO;17806359,0;17422741,98;17422741,98;16416605,29;16416605,29
BETINHO PINTO COELHO;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
BIM DA AMBULÂNCIA;17806359,0;17788993,46;17788993,46;17604159,0;17603359,0
BLOCO AVANCA MINAS;94381425,0;93981424,98;93981424,98;93981424,98;93981424,98
BLOCO DEMOCRACIA E LUTA;75505140,0;75255139,99999999;75255139,99999999;72481139,99999999;72481139,99999999
BLOCO MINAS EM FRENTE;120808224,0;120627889,27000001;120627889,27000001;118427205,42000002;118252515,45000002
BOSCO;17806359,0;16806359,0;16806359,0;16806359,0;16806359,0
BRUNO ENGLER;17806359,0;17592555,74000001;17592555,74000001;11548206,84;11231867,629999999
CAPOREZZO;17806359,0;17789729,07;17789729,07;16374638,3;16306879,01
CARLOS HENRIQUE;17806359,0;17797923,92;17797923,92;17354260,060000002;17332787,54
CASSIO SOARES;17806359,0;17742947,38;17742947,38;17343867,43;17326536,93
CELINHO DO SINTTROCEL;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
CHARLES SANTOS;17806359,0;17739598,6;17739598,6;17253688,0;16969735,0
CHIARA BIONDINI;17806359,0;17767502,719999995;17767502,719999995;16559267,009999998;16420144,66
CORONEL HENRIQUE;17806359,0;17806358,759999998;17806358,759999998;17717844,86;17717844,86
CORONEL SANDRO;17806359,0;17752115,21;17752115,21;16944542,85;16822535,91
CRISTIANO SILVEIRA;17806359,0;17780177,38;17780177,38;17620177,38;17620177,38
DELEGADA SHEILA;17806359,0;17802875,0;17802875,0;17802875,0;17377335,0
DELEGADO CHRISTIANO XAVIER;17806359,0;17801709,38;17801709,38;17084689,62;17070414,85
DOORGAL ANDRADA;17806359,0;17622610,15;17622610,15;17477720,9;17153751,549999997
DOUGLAS MELO;17806359,0;17805155,0;17805155,0;17271359,0;17271359,0
DOUTOR JEAN FREIRE;17806359,0;17754453,0;17754453,0;17327285,0;16283332,0
DOUTOR PAULO;17806359,0;17795781,98;17795781,98;17727817,16;17723845,88
DOUTOR WILSON BATISTA;17806359,0;17711379,0;17711379,0;17424469,0;17264469,0
DR. MAURICIO;17806359,0;17798506,87;17798506,87;17798506,87;17798506,87
DUARTE BECHIR;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
EDUARDO AZEVEDO;17806359,0;17755264,52;17755264,52;16367747,56;16356862,589999998
ELISMAR PRADO;17806359,0;17629727,48;17629727,48;17343120,2;14294838,120000001
ENES CÂNDIDO;17806359,0;17757101,22;17757101,22;17612396,71;17518295,48
FABIO AVELAR DE OLIVEIRA;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
GIL PEREIRA;17806359,0;17799097,0;17799097,0;17732672,0;17732121,89
GREGO DA FUNDAÇÃO;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
GUSTAVO SANTANA;17806359,0;17792615,6;17792615,6;17756359,0;17756359,0
IONE PINHEIRO;17806359,0;17435382,37;17435382,37;16842165,369999997;16810004,9
JOÃO JÚNIOR;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
JOAO MAGALHAES;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
JOAO VITOR XAVIER;17806359,0;17525521,23;17525521,23;15632318,97;15371980,78
LEANDRO GENARO;17806359,0;17806358,0;17806358,0;17806358,0;17806358,0
LELECO PIMENTEL;17806359,0;17766845,1;17766845,1;17241777,31;17007691,87
LENINHA;17806359,0;16877088,57;16877088,57;16426502,48;16404353,26
LEONIDIO BOUCAS;17806359,0;17802533,0;17802533,0;17791971,6;17781370,47
LOHANNA;17806359,0;16869217,64;16869217,64;13710375,650000002;13697060,3
LUCAS LASMAR;17806359,0;17806359,0;17806359,0;17790670,1;17761382,3
LUD FALCÃO;17806359,0;17805924,0;17805924,0;17805924,0;17561971,0
LUIZINHO;17806359,0;17804246,42;17804246,42;17509952,22;17505448,5
MACAE EVARISTO;17806359,0;17767271,259999998;17767271,259999998;17630060,560000002;17629804,33
MARIA CLARA MARRA;17806359,0;17797216,15;17797216,15;16960983,55;16952441,55
MARIO HENRIQUE CAIXA;17806359,0;17793969,6;17793969,6;17475520,330000002;17097888,150000002
MARLI RIBEIRO;17806359,0;17640628,130000003;17640628,130000003;16882079,07;16882079,07
MARQUINHO LEMOS;17806359,0;17806359,0;17806359,0;17806359,0;17721971,0
MAURO TRAMONTE;17806359,0;17380229,509999998;17380229,509999998;15081187,12;14990311,4
NAYARA ROCHA;17806359,0;17795818,36;17795818,36;17666359,0;17666359,0
NEILANDO PIMENTA;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
NORALDINO JUNIOR;17806359,0;17601073,82;17601073,82;17571803,82;17571617,88
OSCAR TEIXEIRA;17806359,0;17556359,0;17556359,0;17396359,0;15146359,0
PROFESSOR CLEITON;17806359,0;17745672,34;17745672,34;17464648,32;17445505,44
PROFESSOR WENDEL MESQUITA;17806359,0;17781720,220000003;17781720,220000003;16826447,3;16566421,2
RAFAEL MARTINS;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
RAUL BELÉM;17806359,0;17393538,72;17393538,72;17229430,9;17211485,3
RICARDO CAMPOS;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
ROBERTO ANDRADE;17806359,0;17793070,48;17793070,48;17755964,36;17755964,36
RODRIGO LOPES;17806359,0;17281971,13;17281971,13;16837185,9;16637185,9
SARGENTO RODRIGUES;17806359,0;17630073,6;17630073,6;13063263,830000002;12614766,52
TADEU MARTINS LEITE;17806359,0;17806335,04;17806335,04;17760974,85;17690358,85
THIAGO COTA;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
TITO TORRES;17806359,0;17754858,96;17754858,96;17375333,52;17375333,52
ULYSSES GOMES;17806359,0;17806359,0;17806359,0;17806359,0;17806359,0
VITÓRIO JÚNIOR;17806359,0;17710974,44;17710974,44;15000221,18;14991063,18
ZÉ GUILHERME;17806359,0;17796341,82;17796341,82;17406359,0;17406359,0
ZÉ LAVIOLA;17806359,0;17747493,0;17747493,0;17376744,0;17376744,0
TOTAL GERAL;1661784432,0;1651829945,2600002;1651829945,2600002;1599706601,499999;1586751525,2
;;;;;
"Nota: Cálculos realizados apenas com as indicações com status ""Aprovado"" e ""Enviada para SEE"".";;;;;
