responsavel_nome;partido;bloco_bancada;uo_descricao;numero_indicacao;tipo_de_indicacao;valor_indicado;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;categoria_iot;justificativa
PROFESSOR CLEITON;PV;BLOCO MINAS SÃO MUITAS;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;112580;EXECUÇÃO DIRETA;700000,0;699000,0;699000,0;647036,42;503225,55;195774,45;143810,87000000005;51963,57999999996;0,0;"Verificar anexo ""Controle de Execução""";"Verificar anexo ""Controle de Execução"""
SAVIO DE SOUZA CRUZ;MDB;BLOCO MINAS SÃO MUITAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;112597;EXECUÇÃO DIRETA;21978,0;21240,99;21240,99;9475,99;4516,0;16724,99;4959,99;11765,000000000002;0,0;"Verificar anexo ""Controle de Execução""";"Verificar anexo ""Controle de Execução"""
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;112604;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;48641,4;48641,4;6726,4;0,0;48641,4;6726,4;41915,0;0,0;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;";A diferença entre os valores indicados e os empenhados referem-se às economias auferidas no processo de contratação. Em relação à execução financeira da despesa, bem como a entrega dos bens, necessário esclarecer que esta Secretaria tomou as providências de contratação, porém os fornecedores não entregaram os bens no prazo previsto, o que impossibilitou a entrega aos beneficiários finais. Ao longo do exercício de 2024, tão logo os bens sejam entregues terão sua destinação final encaminhada.
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;112609;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;37171,4;37171,4;37171,4;0,0;37171,4;37171,4;0,0;37171,4;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;";Aquisição de melhor forma pelo governo do estado. 
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;112628;EXECUÇÃO DIRETA;536630,0;533481,35;533481,35;0,0;0,0;533481,35;0,0;533481,35;0,0;"Verificar anexo ""Controle de Execução""";"Verificar anexo ""Controle de Execução"""
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;112629;EXECUÇÃO DIRETA;240000,0;190000,0;190000,0;95000,0;0,0;190000,0;95000,0;95000,0;0,0;"Verificar anexo ""Controle de Execução""";"Verificar anexo ""Controle de Execução"""
CORONEL SANDRO;PL;PARTIDO LIBERAL;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;112645;EXECUÇÃO DIRETA;51000,0;50435,57;50435,57;49516,82;37265,16;13170,41;12251,659999999996;918,75;0,0;"Verificar anexo ""Controle de Execução""";"Verificar anexo ""Controle de Execução"""
CORONEL SANDRO;PL;PARTIDO LIBERAL;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;112646;EXECUÇÃO DIRETA;37375,0;32500,0;32500,0;0,0;0,0;32500,0;0,0;32500,0;0,0;"Verificar anexo ""Controle de Execução""";"Verificar anexo ""Controle de Execução"""
CORONEL SANDRO;PL;PARTIDO LIBERAL;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;112647;EXECUÇÃO DIRETA;75000,0;73973,64;73973,64;73973,64;0,0;73973,64;73973,64;0,0;0,0;"Verificar anexo ""Controle de Execução""";"Verificar anexo ""Controle de Execução"""
CORONEL SANDRO;PL;PARTIDO LIBERAL;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;112648;EXECUÇÃO DIRETA;190000,0;189017,8;189017,8;154292,0;0,0;189017,8;154292,0;34725,79999999999;0,0;"Verificar anexo ""Controle de Execução""";"Verificar anexo ""Controle de Execução"""
