responsavel_nome;partido;bloco_bancada;uo_descricao;numero_indicacao;tipo_de_indicacao;valor_indicado;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;categoria_iot;justificativa
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;142375;EXECUÇÃO DIRETA;190000,0;190000,0;190000,0;0,0;0,0;190000,0;0,0;190000,0;0;outras razões de ordem técnica devidamente justificadas.;Demais fases das despesa em andamento.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;137951;EXECUÇÃO DIRETA;140000,0;129459,36;129459,36;0,0;0,0;129459,36;0,0;129459,36;0;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;";Saldo de economia alcançado no RP.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;141483;EXECUÇÃO DIRETA;180000,0;152000,0;152000,0;0,0;0,0;152000,0;0,0;152000,0;0;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;";Saldo de economia em RP.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;141484;EXECUÇÃO DIRETA;45700,0;41842,95;41842,95;33998,5;25382,5;16460,45;8616,0;7844,449999999997;0;indicação com mais de um controle de execução cadastrado;saldo será utilizado em outro processo de compra 
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;141485;EXECUÇÃO DIRETA;166000,0;160918,18;160918,18;160917,98;50245,28;110672,9;110672,70000000001;0,1999999999825377;0;outras razões de ordem técnica devidamente justificadas.;Não há.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;141486;EXECUÇÃO DIRETA;86400,0;83355,5;83355,5;79965,5;39056,0;44299,5;40909,5;3390,0;0;outras razões de ordem técnica devidamente justificadas.;saldo será utilizado em outro processo de compra 
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;139346;EXECUÇÃO DIRETA;330000,0;327730,64;327730,64;35897,84;22767,46;304963,18;13130,379999999997;291832,80000000005;0;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;";Demais fases da despesa em andamento.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;142374;EXECUÇÃO DIRETA;600000,0;599971,32;599971,32;0,0;0,0;599971,32;0,0;599971,32;0;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;";Demais fases da despesa em andamento.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;142376;EXECUÇÃO DIRETA;140000,0;138700,42;138700,42;41790,42;41627,46;97072,96;162,95999999999913;96910,00000000001;0;outras razões de ordem técnica devidamente justificadas.;Execução da Emenda em andamento.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;SECRETARIA DE ESTADO DE EDUCAÇÃO;139586;EXECUÇÃO DIRETA - CAIXA ESCOLAR;400000,0;400000,0;400000,0;400000,0;0,0;400000,0;400000,0;0,0;0;"não efetivação dos requisitos legais, regulamentares e técnicos ou condições suspensivas necessários ao pagamento ou à conclusão da execução da emenda dentro do exercício financeiro da respectiva Lei Orçamentária Anual;";Justificativa apresentada pela Diretoria de Obras da Rede Estadual (DORE) da SEE: Não realização de procedimentos necessários à liberação do recurso dentro do prazo.
