numero_siafi;numero_empenho;data_registro_doc_empenho;numero_processo_compra_siad;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;razao_social_credor;cnpj_cpf_credor_formatado;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_empenhada;valor_despesa_liquidada;valor_despesa_liquidada_1;valor_pago_financeiro;valor_liquidado_em_rp;valor_pago_em_rp
9287853;362;2021-12-30;0000000 000000/0000;1231;SEAPA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;ASSOCIACAO COMUNITARIA LAGOA DOS ANJICOS;00.510.857/0001-51;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;;;0;;0;0
9287865;361;2021-12-30;0000000 000000/0000;1231;SEAPA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;ASSOCIACAO DOS PEQUENOS PRODUTORES DE PORTEIRAS;25.229.337/0001-04;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;;;0;;0;0
9317848;953;2021-12-27;0000000 000000/0000;1371;SEMAD;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;CONSORCIO INTERMUNICIPAL DA BAIXA MOGIANA;32.308.233/0001-42;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;;;0;;0;100000
9317848;954;2021-12-27;0000000 000000/0000;1371;SEMAD;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;CONSORCIO INTERMUNICIPAL DA BAIXA MOGIANA;32.308.233/0001-42;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;;;0;;0;320000
9318235;752;2021-12-29;0000000 000000/0000;1271;SECULT;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SETE GUARDAS DE NOSSA SENHORA DO ROSARIO;20.899.142/0001-40;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;;;0;;0;347000
9318767;578;2021-12-30;0000000 000000/0000;1481;SEDESE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;ASSOCIACAO DE RESGATE DA DIGNIDADE HUMANA PROVIDENCIA DIVINA;22.643.399/0001-61;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;;;0;;0;0
9318876;605;2021-12-30;0000000 000000/0000;1481;SEDESE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;ASSOCIACAO DO PEQUENO CRISTO;42.783.621/0001-39;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;;;0;;0;0
