responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho_execucao_direta;processo_de_compra;registro_de_preco;descricao_processo_de_compras;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119439;TRANSFERÊNCIA ESPECIAL;APROVADO;2250;16643;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119440;TRANSFERÊNCIA ESPECIAL;APROVADO;2250;16644;;Não;;;;;402404,86;402404,86;402404,86;402404,86;402404,86;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119441;TRANSFERÊNCIA ESPECIAL;APROVADO;2250;16645;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
DOUTOR JEAN FREIRE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119442;RESOLUÇÃO SES;APROVADO;2188;6204;;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;;;
MARQUINHO LEMOS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119443;TRANSFERÊNCIA ESPECIAL;APROVADO;2194;16646;;Não;;;;;50000,0;50000,0;50000,0;50000,0;50000,0;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119444;TRANSFERÊNCIA ESPECIAL;APROVADO;1693;16647;;Não;;;;;30000,0;30000,0;30000,0;30000,0;30000,0;;;
DOUTOR JEAN FREIRE;4291;FUNDO ESTADUAL DE SAÚDE;SES;119445;RESOLUÇÃO SES;APROVADO;2188;6245;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
CASSIO SOARES;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119446;TRANSFERÊNCIA ESPECIAL;APROVADO;2250;16648;;Não;;;;;200000,0;200000,0;200000,0;200000,0;200000,0;;;
DUARTE BECHIR;1261;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE;119447;EXECUÇÃO DIRETA - CAIXA ESCOLAR;ENVIADA PARA SEE;2165;8336;;Não;;;;;80000,0;80000,0;80000,0;80000,0;80000,0;;;
PROFESSOR WENDEL MESQUITA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;119448;TRANSFERÊNCIA ESPECIAL;APROVADO;1699;16649;;Não;;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
