responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho;processo_de_compra;registro_de_preco;descricao_processo_de_compras;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot
ADRIANO ALVARENGA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;143497;TRANSFERÊNCIA ESPECIAL;APROVADO;1353;21470;29;Não;;;;;11900,0;11900,0;11900,0;11900,0;11900,0;0,0;;
ADRIANO ALVARENGA;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;142375;EXECUÇÃO DIRETA;APROVADO;1355;23377;63, 132;Sim;Não;Suv flex com cela.  Memorando 60.019.2/2019-EMPM - Emenda Estadual. Memorando 40.080.2/2024-EMPM - Recurso Ordinário,;1,2500720000122e+16;CONCLUÍDO;190000,0;190000,0;190000,0;0,0;0,0;0,0;Demais fases das despesa em andamento.;outras razões de ordem técnica devidamente justificadas.
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;142378;RESOLUÇÃO SES;APROVADO;1371;25251;2139;Não;;;;;268358,0;268358,0;268358,0;268358,0;268358,0;0,0;;
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;143452;RESOLUÇÃO SES;APROVADO;1578;26120;2847;Não;;;;;160000,0;160000,0;160000,0;160000,0;160000,0;0,0;;
ADRIANO ALVARENGA;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;SEAPA;143480;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;1580;17845;991001, 8845008;Sim;Sim;Aquisição de sementes de hortaliças;3,0400100088452e+18;CONCLUÍDO;3000,0;2646,0;2646,0;2646,0;2646,0;2646,0;Valor licitado inferior ao valor indicado;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
ADRIANO ALVARENGA;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;SEAPA;143481;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;1580;23264;442509, 621105, 621106;Sim;Sim;Aquisição de sementes;3,0400100044252e+18;CONCLUÍDO;14000,0;13950,0;13950,0;13950,0;13950,0;13950,0;Valor licitado inferior ao valor indicado;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
ADRIANO ALVARENGA;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;SEAPA;143482;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;1580;17845;991001, 8845008;Sim;Sim;Aquisição de sementes de hortaliças;3,0400100088452e+18;CONCLUÍDO;3000,0;2646,0;2646,0;2646,0;2646,0;2646,0;Valor licitado inferior ao valor indicado;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
ADRIANO ALVARENGA;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;SEAPA;143483;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;1580;23264;442509, 621105, 621106;Sim;Sim;Aquisição de sementes;3,0400100044252e+18;CONCLUÍDO;14000,0;13940,0;13940,0;13940,0;13940,0;13940,0;Valor licitado inferior ao valor indicado;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
ADRIANO ALVARENGA;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;SEAPA;143487;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;1580;17845;991001, 8845008;Sim;Sim;Aquisição de sementes de hortaliças;3,0400100088452e+18;CONCLUÍDO;3000,0;2646,0;2646,0;2646,0;2646,0;2646,0;Valor licitado inferior ao valor indicado;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
ADRIANO ALVARENGA;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;SEAPA;143488;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;1580;23264;442509, 621105, 621106;Sim;Sim;Aquisição de sementes;3,0400100044252e+18;CONCLUÍDO;14000,0;13950,0;13950,0;13950,0;13950,0;0,0;Valor licitado inferior ao valor indicado;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
