numero_siafi;numero_empenho;data_registro_doc_empenho;numero_processo_compra_siad;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;razao_social_credor;cnpj_cpf_credor_formatado;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_empenhada;valor_despesa_liquidada;valor_despesa_liquidada_1;valor_pago_financeiro;valor_liquidado_em_rp;valor_pago_em_rp
693651;1522;2023-10-16;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC HENRIQUETA RIOS;19.707.967/0001-36;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;;;32382,88;;32382,88;32382,88
693657;3695;2023-11-06;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROF. DOMINGOS ORNELAS;20.482.097/0001-23;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;;;0,0;;0,0;8768,91
693664;2522;2025-09-23;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PADRE JESUINO SOARES DA CUNHA;18.562.512/0001-07;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;17216,46;17216,46;;17216,46;;
693667;1019;2023-05-19;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC CONEGO JOSE DIVINO;05.241.590/0001-68;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;;;300000,0;;300000,0;300000,0
693670;1263;2023-08-17;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC  D. AMANDA PINHEIRO SENNA;19.500.651/0001-79;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;;;0,0;;0,0;0,0
693671;2629;2023-11-06;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC LACY RIBEIRO DE LIMA;19.920.396/0001-13;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;;;21427,54;;21427,54;21427,54
693673;2086;2024-12-16;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROFESSOR JOSE EUTROPIO;19.572.239/0001-64;42;AUXILIOS;1;AUXILIOS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;;;4433,08;;4433,08;4433,08
693678;2545;2023-08-22;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC. LAURISTON SOUZA;20.024.618/0001-07;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;;;0,0;;0,0;0,0
693680;1120;2023-12-05;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC JOSE BARBOSA DE OLIVEIRA JUNIOR;19.684.687/0001-50;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;;;4777,05;;4777,05;4777,05
693690;2623;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROFA MILCIA DE OLIVEIRA ABRANTES;19.587.807/0001-09;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;;;300000,0;;300000,0;300000,0
