responsavel_nome;partido;bloco_bancada;uo_descricao;numero_indicacao;tipo_de_indicacao;valor_indicado;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;categoria_iot;justificativa
DOUTOR PAULO;PRD;BLOCO AVANCA MINAS;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;160707;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;31707,54;31707,54;0,0;0,0;31707,54;0,0;31707,54;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Melhor aquisição pelo Estado. Publicação do beneficiário, aguardando a retirada pelo município e pagamento da empresa.
DOUTOR PAULO;PRD;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;161451;EXECUÇÃO DIRETA;200000,0;197550,87;197550,87;9893,63;9893,63;187657,24;0,0;187657,24;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
DOUTOR PAULO;PRD;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;162654;EXECUÇÃO DIRETA;350000,0;348321,63;348321,63;27321,63;27321,63;321000,0;0,0;321000,0;0,0;outras razões de ordem técnica devidamente justificadas;Demais aquisições da emenda em andamento.
DOUTOR PAULO;PRD;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;162974;EXECUÇÃO DIRETA;140000,0;140000,0;140000,0;0,0;0,0;140000,0;0,0;140000,0;0,0;outras razões de ordem técnica devidamente justificadas;Indicação complementada com a de nº 162996
DOUTOR PAULO;PRD;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;162996;EXECUÇÃO DIRETA;50000,0;43000,0;43000,0;0,0;0,0;43000,0;0,0;43000,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Salde de economia
DOUTOR WILSON BATISTA;PSD;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;161745;EXECUÇÃO DIRETA;320000,0;317505,07;317505,07;41553,26;41553,26;275951,81;0,0;275951,81;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
DR. MAURICIO;NOVO;BLOCO MINAS EM FRENTE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;167741;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;31542,28;31542,28;0,0;0,0;31542,28;0,0;31542,28;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Melhor aquisição pelo Estado
DR. MAURICIO;NOVO;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;167670;EXECUÇÃO DIRETA;35000,0;31641,31;31641,31;23990,0;23990,0;7651,310000000001;0,0;7651,310000000001;0,0;outras razões de ordem técnica devidamente justificadas;Execução em andamento.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;158645;EXECUÇÃO DIRETA;280990,0;280990,0;280990,0;0,0;0,0;280990,0;0,0;280990,0;0,0;outras razões de ordem técnica devidamente justificadas;Não há.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;159257;EXECUÇÃO DIRETA;20000,0;5500,0;5500,0;0,0;0,0;5500,0;0,0;5500,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Saldo de economia alcançado na licitação.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;159790;EXECUÇÃO DIRETA;200000,0;197550,87;197550,87;9893,63;9893,63;187657,24;0,0;187657,24;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;164277;EXECUÇÃO DIRETA;60000,0;54162,47;54162,47;16755,47;16755,47;37407,0;0,0;37407,0;0,0;outras razões de ordem técnica devidamente justificadas;Execução da emenda em andamento.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;164441;EXECUÇÃO DIRETA;177980,0;177980,0;177980,0;0,0;0,0;177980,0;0,0;177980,0;0,0;outras razões de ordem técnica devidamente justificadas;Execução da emenda em andamento.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;159233;EXECUÇÃO DIRETA;140000,0;125500,0;125500,0;0,0;0,0;125500,0;0,0;125500,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Saldo de economia alcançado na licitação.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;159234;EXECUÇÃO DIRETA;140000,0;125500,0;125500,0;0,0;0,0;125500,0;0,0;125500,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Saldo de economia alcançado na licitação.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;159256;EXECUÇÃO DIRETA;120000,0;120000,0;120000,0;0,0;0,0;120000,0;0,0;120000,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Saldo de economia alcançado na licitação.
EDUARDO AZEVEDO;PL;BLOCO AVANCA MINAS;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;158151;EXECUÇÃO DIRETA;190000,0;189901,8;189901,8;0,0;0,0;189901,8;0,0;189901,8;0,0;outras razões de ordem técnica devidamente justificadas;Controle de execução em andamento
ELISMAR PRADO;PSD;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;168983;EXECUÇÃO DIRETA;11684,0;11227,0;11227,0;9467,0;9467,0;1760,0;0,0;1760,0;0,0;outras razões de ordem técnica devidamente justificadas;Execução da emenda em andamento.
ELISMAR PRADO;PSD;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;168989;EXECUÇÃO DIRETA;11684,0;10628,0;10628,0;9562,45;9562,45;1065,5499999999993;0,0;1065,5499999999993;0,0;outras razões de ordem técnica devidamente justificadas;Execução em andamento.
ELISMAR PRADO;PSD;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;178771;EXECUÇÃO DIRETA;250000,0;214529,85;214529,85;145294,57;7264,73;207265,12;138029,84;69235,28;0,0;outras razões de ordem técnica devidamente justificadas;Execução da emenda em andamento.
ENES CÂNDIDO;REPUBLICANOS;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;157419;EXECUÇÃO DIRETA;200000,0;199924,83;199924,83;142070,75;95961,76;103963,06999999999;46108,990000000005;57854,07999999999;0,0;outras razões de ordem técnica devidamente justificadas;Em relação a liquidação: Aguardando a entrega total dos bens pelo fornecedor para efetivação da liquidação no valor total.
ENES CÂNDIDO;REPUBLICANOS;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;157421;EXECUÇÃO DIRETA;104500,0;104095,88;104095,88;80473,88;42558,88;61537,00000000001;37915,00000000001;23622,0;0,0;outras razões de ordem técnica devidamente justificadas;Em relação a liquidação: Aguardando a entrega total dos bens pelo fornecedor para efetivação da liquidação no valor total.
ENES CÂNDIDO;REPUBLICANOS;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;157475;EXECUÇÃO DIRETA;300000,0;299529,7;299529,7;244329,7;193329,7;106200,0;51000,0;55200,0;0,0;outras razões de ordem técnica devidamente justificadas;Aguardando pagamento. 
ENES CÂNDIDO;REPUBLICANOS;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;157453;EXECUÇÃO DIRETA;200000,0;197550,87;197550,87;9893,63;9893,63;187657,24;0,0;187657,24;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
ENES CÂNDIDO;REPUBLICANOS;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;157754;EXECUÇÃO DIRETA;100000,0;97353,74;97353,74;89104,76;89104,76;8248,98000000001;0,0;8248,98000000001;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
ENES CÂNDIDO;REPUBLICANOS;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;157775;EXECUÇÃO DIRETA;100000,0;80841,8;80841,8;0,0;0,0;80841,8;0,0;80841,8;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
ENES CÂNDIDO;REPUBLICANOS;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;157776;EXECUÇÃO DIRETA;100000,0;100000,0;100000,0;28501,02;28481,02;71518,98;20,0;71498,98;0,0;outras razões de ordem técnica devidamente justificadas;Execução da emenda em andamento.
FABIO AVELAR DE OLIVEIRA;AVANTE;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;157920;EXECUÇÃO DIRETA;400000,0;395736,11;395736,11;20421,63;20421,63;375314,48;0,0;375314,48;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
FABIO AVELAR DE OLIVEIRA;AVANTE;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;157921;EXECUÇÃO DIRETA;200000,0;197550,87;197550,87;9893,63;9893,63;187657,24;0,0;187657,24;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
GIL PEREIRA;PSD;BLOCO MINAS EM FRENTE;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA;179137;EXECUÇÃO DIRETA;190000,0;190000,0;190000,0;0,0;0,0;190000,0;0,0;190000,0;0,0;outras razões de ordem técnica devidamente justificadas; O valor foi devidamente empenhado no exercício de 2025. Entretanto, em razão da natureza e da extensão dos itens contratados, o prazo para entrega ultrapassou o encerramento do exercício. Por se tratar de compra internacional os prazos e trâmites são mais demorados.
GIL PEREIRA;PSD;BLOCO MINAS EM FRENTE;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;166219;EXECUÇÃO DIRETA;350000,0;321000,0;321000,0;0,0;0,0;321000,0;0,0;321000,0;0,0;outras razões de ordem técnica devidamente justificadas;Outras razões de ordem técnica devidamente comprovadas
GIL PEREIRA;PSD;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;166370;EXECUÇÃO DIRETA;200000,0;197550,87;197550,87;9893,63;9893,63;187657,24;0,0;187657,24;0,0;outras razões de ordem técnica devidamente justificadas;Demais aquisições da emenda em andamento.
GIL PEREIRA;PSD;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;166371;EXECUÇÃO DIRETA;200000,0;197737,24;197737,24;10080,0;10080,0;187657,24;0,0;187657,24;0,0;outras razões de ordem técnica devidamente justificadas;Execução da emenda em andamento.
GIL PEREIRA;PSD;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;166372;EXECUÇÃO DIRETA;49870,0;46658,08;46658,08;44682,17;44682,17;1975,9100000000035;0,0;1975,9100000000035;0,0;outras razões de ordem técnica devidamente justificadas;Demais aquisições da emenda em andamento.
GIL PEREIRA;PSD;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;166378;EXECUÇÃO DIRETA;43000,0;41157,0;41157,0;20750,0;20750,0;20407,0;0,0;20407,0;0,0;outras razões de ordem técnica devidamente justificadas;Execução em andamento.
GUSTAVO SANTANA;PL;BLOCO AVANCA MINAS;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;168271;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;48490,2;48490,2;0,0;0,0;48490,2;0,0;48490,2;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;.
HELY TARQUINIO;PV;BLOCO DEMOCRACIA E LUTA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;161110;EXECUÇÃO DIRETA;200000,0;199358,55;199358,55;4050,0;4050,0;195308,55;0,0;195308,55;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
HELY TARQUINIO;PV;BLOCO DEMOCRACIA E LUTA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;157885;EXECUÇÃO DIRETA;800000,0;711965,49;711965,49;0,0;0,0;711965,49;0,0;711965,49;0,0;outras razões de ordem técnica devidamente justificadas;Processo de execução em desenvolvimento.
HELY TARQUINIO;PV;BLOCO DEMOCRACIA E LUTA;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;160859;EXECUÇÃO DIRETA;325000,0;324904,62;324904,62;125342,82;96233,71;228670,90999999997;29109,11;199561,8;0,0;indicação com mais de um controle de execução cadastrado.;Saldo remanescente será utilizado em outros procedimentos licitatórios
HELY TARQUINIO;PV;BLOCO DEMOCRACIA E LUTA;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;160860;EXECUÇÃO DIRETA;245000,0;244997,49;244997,49;41757,92;37459,92;207537,57;4298,0;203239,57;0,0;indicação com mais de um controle de execução cadastrado.;Saldo remanescente será utilizado em outros procedimentos licitatórios
HELY TARQUINIO;PV;BLOCO DEMOCRACIA E LUTA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;157884;EXECUÇÃO DIRETA;500000,0;498980,0;498980,0;0,0;0,0;498980,0;0,0;498980,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
IONE PINHEIRO;UNIAO;BLOCO MINAS EM FRENTE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;164544;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;31542,28;31542,28;0,0;0,0;31542,28;0,0;31542,28;0,0;inadimplência do interessado registrada no sistema de execução orçamentária e financeira do Poder Executivo Estadual, no Cadastro Informativo de Inadimplência em relação à Administração Pública do Estado de Minas - Cadin-MG-, ou, quando for o caso, no Cadastro Geral de Convenentes do Estado de Minas Gerais - Cagec -, ou no Cadastro de Fornecedores Impedidos de Licitar e Contratar com a Administração Pública do Poder Executivo Estadual - Cafimp - ou em outro sistema estadual, salvo exceções previstas no art. 160, § 14, da Constituição do Estado e na Lei de Diretrizes Orçamentárias;CAGEC irregular no momento da publicação conforme RESOLUÇÃO SEGOV Nº 004, de 30 de janeiro de 2025, Art. 5°.
IONE PINHEIRO;UNIAO;BLOCO MINAS EM FRENTE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;164546;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;50000,0;31542,28;31542,28;0,0;0,0;31542,28;0,0;31542,28;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Melhor aquisição pelo Estado. Kit foi entregue e aguardamos o pagamento para a empresa.
IONE PINHEIRO;UNIAO;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;160575;EXECUÇÃO DIRETA;200000,0;197550,87;197550,87;9893,63;9893,63;187657,24;0,0;187657,24;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
