responsavel;valor_impositivo_inicial_loa;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago
PROFESSOR IRINEU;11870906,0;11858771,33;11858771,33;11858771,33;11858771,33
PROFESSOR WENDEL MESQUITA;11870906,0;11858394,88;11858394,88;11055224,440000001;10499872,14
RAUL BELÉM;11870906,0;11752282,14;11752282,14;11752282,14;11752282,14
REPORTER RAFAEL MARTINS;11870906,0;11870906,0;11870906,0;11870906,0;11870906,0
ROBERTO ANDRADE;11870906,0;11870906,0;11870906,0;11870906,0;11868519,200000003
ROSANGELA REIS;11870906,0;11870905,95;11870905,95;11870905,95;11870905,95
SARGENTO RODRIGUES;11870906,0;11827697,55;11827697,55;7892084,35;7817974,84
SAVIO DE SOUZA CRUZ;11870906,0;11870146,270000001;11870146,270000001;11858381,270000001;11853421,28
TADEU MARTINS LEITE;11870906,0;11870896,130000003;11870896,130000003;11786482,000000004;11770906,000000004
THIAGO COTA;11870906,0;11870512,780000001;11870512,780000001;11870512,780000001;11770518,0
TITO TORRES;11870906,0;11863221,0;11863221,0;11704106,0;11555420,399999999
ULYSSES GOMES;11870906,0;11363603,64;11363603,64;11363603,64;10974979,78
VIRGILIO GUIMARAES;11870906,0;11692230,9;11692230,9;11692230,9;11514983,18
ZÉ GUILHERME;11870906,0;11751049,190000001;11751049,190000001;11751049,190000001;11662425,33
ZÉ REIS;11870906,0;9930997,2;9930997,2;9930997,2;9930997,2
TOTAL GERAL;1202628427,0;1173930597,0600004;1173930597,0600004;1139382634,5100005;1118068885,2700002
;;;;;
"Nota: Cálculos realizados apenas com as indicações com status ""Aprovado"" e ""Enviada para SEE"".";;;;;
