numero_siafi;numero_empenho;data_registro_doc_empenho;numero_processo_compra_siad;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;razao_social_credor;cnpj_cpf_credor_formatado;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_empenhada;valor_despesa_liquidada;valor_despesa_liquidada_1;valor_pago_financeiro;valor_liquidado_em_rp;valor_pago_em_rp
693658;2200;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC MONSENHOR DOMINGOS;19.899.731/0001-49;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;245470,0;0,0;;0,0;;
693658;2201;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC MONSENHOR DOMINGOS;19.899.731/0001-49;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;54530,0;0,0;;0,0;;
693659;1122;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PRES. ARTHUR DA COSTA E SILVA;19.708.569/0001-34;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;350000,0;350000,0;;350000,0;;
693660;1832;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ES. MAESTRO JOSINO DE OLIVEIRA;20.024.451/0001-76;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693661;2198;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CE DO PLANALTO;20.948.402/0001-20;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;355912,0;0,0;;0,0;;
693662;2199;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROFESSORA MARIA MAGALHAES PINTO;19.251.115/0001-87;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693663;2717;2023-05-12;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CE SAO JUDAS TADEU;65.141.392/0001-54;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693664;2377;2023-05-19;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PADRE JESUINO SOARES DA CUNHA;18.562.512/0001-07;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;291734,0;0,0;;0,0;;
693664;2378;2023-05-19;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PADRE JESUINO SOARES DA CUNHA;18.562.512/0001-07;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;82089,0;0,0;;0,0;;
693665;1579;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC OSWALDO CRUZ;18.974.006/0001-25;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;400000,0;400000,0;;400000,0;;
693666;748;2023-05-15;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC MARIETA SOARES TEIXEIRA;19.649.615/0001-71;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;251734,0;251734,0;;251734,0;;
693666;749;2023-05-15;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC MARIETA SOARES TEIXEIRA;19.649.615/0001-71;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;82089,0;82089,0;;82089,0;;
693667;1019;2023-05-19;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC CONEGO JOSE DIVINO;05.241.590/0001-68;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693668;2008;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CE DELMINDA DE MOURA;71.205.751/0001-92;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;0,0;;0,0;;
693668;2459;2023-09-28;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CE DELMINDA DE MOURA;71.205.751/0001-92;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693669;2721;2023-05-12;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROFA MARIA COUTINHO;22.256.622/0001-18;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693670;1002;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC  D. AMANDA PINHEIRO SENNA;19.500.651/0001-79;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;0,0;;0,0;;
693670;1004;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC  D. AMANDA PINHEIRO SENNA;19.500.651/0001-79;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;0,0;;0,0;;
693670;1006;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC  D. AMANDA PINHEIRO SENNA;19.500.651/0001-79;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;473823,0;473823,0;;473823,0;;
693670;1263;2023-08-17;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC  D. AMANDA PINHEIRO SENNA;19.500.651/0001-79;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;127,54;127,0;;127,0;;
693671;1960;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC LACY RIBEIRO DE LIMA;19.920.396/0001-13;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;400000,0;400000,0;;400000,0;;
693671;2629;2023-11-06;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC LACY RIBEIRO DE LIMA;19.920.396/0001-13;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;21427,54;0,0;;0,0;;
693672;3556;2023-05-15;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC DR. TANCREDO NEVES;19.695.261/0001-00;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;0,0;;
693673;1581;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROFESSOR JOSE EUTROPIO;19.572.239/0001-64;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693674;3046;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC CECI FIGUEIREDO;19.143.908/0001-82;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693675;1295;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC SELIM DE SALES;20.844.791/0001-43;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693676;1580;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC CARLOS HENRIQUE RIBEIRO DOS SANTOS;30.535.384/0001-08;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693677;3045;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PRINCESA ISABEL;19.143.304/0001-36;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693678;1833;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC. LAURISTON SOUZA;20.024.618/0001-07;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693678;2545;2023-08-22;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC. LAURISTON SOUZA;20.024.618/0001-07;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;40233,27;40233,27;;39009,05;;
693679;2716;2023-05-12;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PEDAGOGA MARIA LUCIA M. DA SILVA;07.337.452/0001-02;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693680;773;2023-05-12;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC JOSE BARBOSA DE OLIVEIRA JUNIOR;19.684.687/0001-50;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693680;1053;2023-09-29;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC JOSE BARBOSA DE OLIVEIRA JUNIOR;19.684.687/0001-50;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;0,0;;0,0;;
693680;1120;2023-12-05;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC JOSE BARBOSA DE OLIVEIRA JUNIOR;19.684.687/0001-50;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;4777,05;0,0;;0,0;;
693681;763;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC JERONIMO C DE OLIVEIRA;20.570.743/0001-04;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693682;972;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC MARIANA DE PAIVA;19.483.684/0001-58;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693683;1083;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC DE MATA VERDE;19.430.511/0001-71;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;400000,0;400000,0;;400000,0;;
693684;1834;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC. VICENTE DE MACEDO;19.940.436/0001-99;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693685;884;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC NOSSA SENHORA DO ROSARIO;19.489.855/0001-56;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693686;1120;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC EMILIO MOURA;19.707.918/0001-01;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693687;2376;2023-05-19;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC AFONSO PENA;19.391.689/0001-50;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;107500,0;107500,0;;107500,0;;
693688;603;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC JOAQUIM BARTHOLOMEU PEDROSA;19.658.707/0001-18;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693689;2379;2023-05-19;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC LUCINDA LIBANIO M SANTOS;18.266.528/0001-72;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693690;2623;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROFA MILCIA DE OLIVEIRA ABRANTES;19.587.807/0001-09;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693691;767;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROF ALTINA DE PAULA GUIMARAES;20.211.447/0001-17;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693692;1282;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;C.E. JOAO PEREIRA DOS SANTOS;25.210.923/0001-07;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693693;1119;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC CEL. GABRIEL CAPISTRANO;19.686.732/0001-05;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693694;747;2023-05-15;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC CAMILO ALVES DE FREITAS;18.970.269/0001-66;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693694;877;2023-08-07;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC CAMILO ALVES DE FREITAS;18.970.269/0001-66;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;74545,51;74545,51;;74545,51;;
693695;762;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CE.INTERVENTOR ALCIDES LINS;19.797.232/0001-40;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693696;761;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC IRMA RAIMUNDA MARQUES;19.785.971/0001-12;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693696;1106;2023-11-08;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC IRMA RAIMUNDA MARQUES;19.785.971/0001-12;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;42667,25;42667,25;;40915,6;;
693697;760;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC ANTONINA MASCARENHAS GONZAGA;19.806.298/0001-50;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693698;3557;2023-05-15;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PROF. MORAIS;19.890.714/0001-40;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693699;2624;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC BALBINOPOLIS;20.188.256/0001-81;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;300000,0;;300000,0;;
693700;527;2023-05-11;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC DE IBIA;19.457.613/0001-80;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693708;658;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PADRE ALFREDO KOBAL;19.028.745/0001-97;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;340000,0;0,0;;0,0;;
693709;659;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC DR. LUIZ ALVES PEREIRA;18.970.798/0001-60;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;300000,0;0,0;;0,0;;
693710;660;2023-05-10;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC FRANCISCO MIGUEL DORNELAS;19.661.800/0001-81;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;609936,0;0,0;;0,0;;
694291;4219;2023-06-22;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC DR. JOSE MATHEUS DE VASCONCELOS;21.857.867/0001-38;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;50000,0;50000,0;;50000,0;;
694292;4221;2023-06-22;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC EDNA DE FATIMA MEDEIROS;22.733.364/0001-13;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;50000,0;50000,0;;50000,0;;
694293;4220;2023-06-22;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC RACHEL IANCU STEURMAN;19.741.248/0001-31;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;50000,0;50000,0;;50000,0;;
694294;1700;2023-06-20;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC HERMELITA SOARES HORTA;21.894.159/0001-77;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;50000,0;50000,0;;50000,0;;
694295;3411;2023-06-21;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC OLIMPIO DAMASCENO;21.354.097/0001-00;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;50000,0;50000,0;;50000,0;;
694377;1751;2023-06-27;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC WALDEMAR PEZZINI;21.145.305/0001-61;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;50000,0;50000,0;;50000,0;;
694385;4342;2023-06-30;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC RIACHO DA MATAO;27.326.729/0001-09;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;80000,0;80000,0;;80000,0;;
694386;2695;2023-06-30;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PADRE JESUINO SOARES DA CUNHA;18.562.512/0001-07;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;80000,0;80000,0;;80000,0;;
694387;2700;2023-06-30;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC PAULO PINHEIRO DA SILVA;18.562.504/0001-60;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;80000,0;80000,0;;80000,0;;
694388;2696;2023-06-30;0000000 000000/0000;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CX. ESC DA EE JOSE PEREIRA CANCADO;18.562.520/0001-53;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;80000,0;80000,0;;80000,0;;
