responsavel_nome;partido;bloco_bancada;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;numero_inciso;status_indicacao_descricao;descricao_municipio;nome_convenente_beneficiado;numero_cnpj_convenente;codigo_escola;numero_da_acao;nome_da_acao;nome_grupo_de_despesa;descricao_genero;descricao_categoria;descricao_especificacao;descricao_indicacao;descricao_tipo_aplicacao;valor_indicado;justificativa_cancelamento_reprovacao;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;numero_instrumento_juridico_convenio;numero_siafi;numero_resolucao_transferencia_especial;funcional_programatica_formatado;categoria_economica_despesa_codigo;numero_empenho
IONE PINHEIRO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;112536;RESOLUÇÃO SES;553;REPROVADO PELO ÓRGÃO;SARZEDO;INSTITUTO BRASILEIRO DE DESENVOLVIMENTO SOCIAL DE MINAS GERAIS - IBIS-MG;01.834.744/0001-74;;4463; APOIO E FORTALECIMENTO À ATENÇÃO ESPECIALIZADA;OUTRAS DESPESAS CORRENTES;;3;;Indicação de recursos para custeio da Atenção Especializada;FES Custeio;180000,0;Conforme parecer emitido pela ¿rea t¿cnica afeta ¿ a¿¿o or¿ament¿ria indicada, manifesta-se desfavor¿vel ¿ indica¿¿o apresentada. Em consulta ao CNES da entidade (01.834.744/0001-74 - INSTITUTO BRASILEIRO DE DESENVOLVIMENTO SOCIAL DE MINAS GERAIS - IBIS-MG), n¿o foram identificados profissionais compat¿veis e suficientes para execu¿¿o e manuten¿¿o de servi¿os especializados al¿m de que, pela an¿lise realizada no Sistema de Informa¿¿o?, Ambulatorial do SUS - SIA/SUS, n¿o foi identificada produ¿¿o assistencial, nas formas de organiza¿¿o para apoio e diagn¿stico e forma de organiza¿¿o para consultas especializadas.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;10.302.158.4463.0001;3;
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;112570;RESOLUÇÃO SES;806;APROVADO;JAMPRUCA;FUNDO MUNICIPAL DE SAÚDE DE JAMPRUCA;13.621.027/0001-43;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;417911,0;;417911,0;417911,0;417911,0;417911,0;0,0;0,0;0,0;0,0;;9387407,0;8685;10.301.159.4460.0001;3;4946
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112572;TRANSFERÊNCIA ESPECIAL;614;APROVADO;JAMPRUCA;PREFEITURA MUNICIPAL DE JAMPRUCA;66.230.384/0001-47;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;82089,0;;82089,0;82089,0;82089,0;82089,0;0,0;0,0;0,0;0,0;;9384686,0;0012/2023;04.122.024.2090.0001;4;1033
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112573;TRANSFERÊNCIA ESPECIAL;569;APROVADO;JAMPRUCA;PREFEITURA MUNICIPAL DE JAMPRUCA;66.230.384/0001-47;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;417911,0;;417911,0;417911,0;417911,0;417911,0;0,0;0,0;0,0;0,0;;9384228,0;0012/2023;04.122.024.2090.0001;4;113
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112574;TRANSFERÊNCIA ESPECIAL;569;APROVADO;MIRAI;PREFEITURA MUNICIPAL DE MIRAÍ;17.966.201/0001-40;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;1000000,0;;1000000,0;1000000,0;1000000,0;1000000,0;0,0;0,0;0,0;0,0;;9384229,0;0012/2023;04.122.024.2090.0001;4;117
IONE PINHEIRO;UNIAO;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;112576;RESOLUÇÃO SES;557;REPROVADO PELO ÓRGÃO;SARZEDO;INSTITUTO BRASILEIRO DE DESENVOLVIMENTO SOCIAL DE MINAS GERAIS - IBIS-MG;01.834.744/0001-74;;4463; APOIO E FORTALECIMENTO À ATENÇÃO ESPECIALIZADA;INVESTIMENTOS;;4;;Aquisiçãoa de Equipamentos e material permanente ;FES Equipamentos e Materiais Permanentes;180000,0;Conforme parecer emitido pela ¿rea t¿cnica afeta a a¿¿o or¿ament¿ria indicado, manifesta-se desfavor¿vel ¿ indica¿¿o apresentada. Em an¿lise do CNES e no Sistema de Informa¿¿o?, Ambulatorial do SUS - SIA/SUS, n¿o foi identificada produ¿¿o relevante nos procedimentos nas formas de organiza¿¿o para apoio e diagn¿stico e na forma de organiza¿¿o para consultas especializadas.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;10.302.158.4463.0001;4;
PROFESSOR CLEITON;PV;BLOCO MINAS SÃO MUITAS;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG;112580;EXECUÇÃO DIRETA;127;APROVADO;VARGINHA;9º BBM;03.389.126/0001-98;;4479;EXPANSÃO DO CBMMG ATRAVÉS DA CRIAÇÃO E AMPLIAÇÃO DE UNIDADES PREDIAIS;INVESTIMENTOS;;4;;CONSTRUÇÃO DE UMA PISCINA SEMI OLÍMPICA NO 9°BATALHÃO DO CORPO DE BOMBEIROS NO MUNICÍPIO DE VARGINHA;Reforma ou Obra;700000,0;;699000,0;699000,0;647036,42;503225,55;195774,45;143810,87000000005;51963,57999999996;0,0;;;;06.182.155.4479.0001;4;542
SAVIO DE SOUZA CRUZ;MDB;BLOCO MINAS SÃO MUITAS;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112591;EXECUÇÃO DIRETA;46;REPROVADO PELO ÓRGÃO;ESMERALDAS;6º CIA PM IND - Esmeraldas;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;4;;mobiliario.  Complementação da indicação 112597;Bem Permanente;22,0;O detalhamento se encontra nos controles de execução: 7943.;22,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;06.181.034.4558.0001;4;329
CORONEL SANDRO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112593;RESOLUÇÃO SES;510;APROVADO;MINAS NOVAS;FUNDACAO MINAS NOVAS;21.248.752/0001-46;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;Recurso de Custeio para atender as necessidades da Fundação Minas Novas - Hospital Dr. Badaró Junior;FES Custeio;180000,0;;180000,0;180000,0;180000,0;180000,0;0,0;0,0;0,0;0,0;;9389138,0;8815;10.302.157.4457.0001;3;2965
CORONEL SANDRO;PL;PARTIDO LIBERAL;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112594;TRANSFERÊNCIA ESPECIAL;285;APROVADO;VARJAO DE MINAS;PREFEITURA MUNICIPAL DE VARJÃO DE MINAS;01.609.780/0001-34;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;30000,0;;30000,0;30000,0;30000,0;30000,0;0,0;0,0;0,0;0,0;;9385116,0;0012/2023;04.122.024.2090.0001;4;808
