responsavel_nome;partido;bloco_bancada;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;numero_inciso;status_indicacao_descricao;descricao_municipio;nome_convenente_beneficiado;numero_cnpj_convenente;codigo_escola;numero_da_acao;nome_da_acao;nome_grupo_de_despesa;descricao_genero;descricao_categoria;descricao_especificacao;descricao_indicacao;descricao_tipo_aplicacao;valor_indicado;justificativa_cancelamento_reprovacao;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;numero_instrumento_juridico_convenio;numero_siafi;numero_resolucao_transferencia_especial;funcional_programatica_formatado;categoria_economica_despesa_codigo;numero_empenho
Bloco Minas São Muitas;;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;112596;RESOLUÇÃO SES;805;APROVADO;JAMPRUCA;FUNDO MUNICIPAL DE SAÚDE DE JAMPRUCA;13.621.027/0001-43;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Indicação complementar a indicação 112570.;FES Custeio;82089,0;;82089,0;82089,0;82089,0;82089,0;0,0;0,0;0,0;0,0;;9387408,0;8685;10.301.159.4460.0001;3;4948
SAVIO DE SOUZA CRUZ;MDB;BLOCO MINAS SÃO MUITAS;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112597;EXECUÇÃO DIRETA;46;APROVADO;ESMERALDAS;6º CIA PM IND - Esmeraldas;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;4;;mobiliario;Bem Permanente;21978,0;;21240,99;21240,99;9475,99;4516,0;16724,99;4959,99;11765,000000000002;0,0;;;;06.181.034.4558.0001;4;329
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;SEAPA;112604;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;22;APROVADO;PARACATU;MUNICIPIO DE PARACATU;18.278.051/0001-45;;4424;APOIO ÀS FEIRAS LIVRES E CONGÊNERES;OUTRAS DESPESAS CORRENTES;;3;;Doação de kit feira livre;SEAPA (doação) Kit feira livre;50000,0;;48641,4;48641,4;6726,4;0,0;48641,4;6726,4;41915,0;0,0;;;;20.608.164.4424.0001;3;420
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;SEAPA;112605;CELEBRAÇÃO DE CONVÊNIO;16;APROVADO;PARACATU;MUNICIPIO DE PARACATU;18.278.051/0001-45;;4448;MECANIZAÇÃO NO CAMPO;INVESTIMENTOS;AQUISIÇÃO DE BENS;4;Caminhão;Aquisição de um caminhão refrigerado. A prefeitura entrará com contrapartida. ;;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;0,0;0,0;0,0;1231000038/2023;9383282,0;;20.608.127.4448.0001;4;102
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;112606;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;223;REPROVADO PELO ÓRGÃO;PARACATU;MUNICIPIO DE PARACATU;18.278.051/0001-45;;4086;APOIO À REALIZAÇÃO DE AÇÕES ESPORTIVAS;INVESTIMENTOS;;4;;Doação de academia ao ar livre;SEDESE (doação) Academia;50000,0;O local indicado para a instalação das academias ao ar livre não atendem os requisitos mínimos como: boa iluminação, não foi informado um mínimo de habitantes que justifique a implementação da academia nos locais:  - Rodovia MG 188, s/n Zona Rural de Paracatu e Fazenda Conceição, s/n Zona Rural de Paracatu ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;27.812.043.4086.0001;4;
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;112607;CELEBRAÇÃO DE CONVÊNIO;223;APROVADO;BELO HORIZONTE;INSTITUTO ONDE A ARTE SE UNE AO ESPORTE;10.990.787/0001-30;;4086;APOIO À REALIZAÇÃO DE AÇÕES ESPORTIVAS;INVESTIMENTOS;AQUISIÇÃO DE BENS;4;;Aquisição de bens permanentes.;;150000,0;;146289,08;146289,08;146289,08;146289,08;0,0;0,0;0,0;0,0;1481001915/2023;9407540,0;;27.812.043.4086.0001;4;410
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;112609;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;213;APROVADO;PARACATU;MUNICIPIO DE PARACATU;18.278.051/0001-45;;4086;APOIO À REALIZAÇÃO DE AÇÕES ESPORTIVAS;OUTRAS DESPESAS CORRENTES;;3;;Doação de kit esportivo;SEDESE (doação) Kit esportivo;50000,0;;37171,4;37171,4;37171,4;0,0;37171,4;37171,4;0,0;37171,4;;;;27.812.043.4086.0001;3;208
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112611;TRANSFERÊNCIA ESPECIAL;305;APROVADO;SABARA;PREFEITURA MUNICIPAL DE SABARÁ;18.715.441/0001-35;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;1000000,0;;1000000,0;1000000,0;1000000,0;1000000,0;0,0;0,0;0,0;0,0;;9385331,0;0012/2023;04.122.024.2090.0001;4;1059
CORONEL SANDRO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112613;RESOLUÇÃO SES;510;APROVADO;GOVERNADOR VALADARES;BENEFICENCIA SOCIAL BOM SAMARITANO;22.709.109/0001-35;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;Recurso de custeio para atender as necessidades do Hospital Bom Samaritano, de Governador Valadares.;FES Custeio;600000,0;;600000,0;600000,0;600000,0;600000,0;0,0;0,0;0,0;0,0;;9388757,0;8787;10.302.157.4457.0001;3;2840
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;112615;RESOLUÇÃO SES;683;APROVADO;PARACATU;FUNDO MUNICIPAL DE SAÚDE DE PARACATU;20.583.431/0001-35;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;Custeio;FES Custeio;260022,0;;260022,0;260022,0;260022,0;260022,0;0,0;0,0;0,0;0,0;;9387107,0;8685;10.301.159.4460.0001;3;4274
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;112616;RESOLUÇÃO SES;447;APROVADO;BURITIZEIRO;FUNDO MUNICIPAL DE SAÚDE DE BURITIZEIRO;12.134.901/0001-55;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;;FES Custeio;200000,0;;200000,0;200000,0;200000,0;200000,0;0,0;0,0;0,0;0,0;;9387440,0;8685;10.301.159.4460.0001;3;4939
CORONEL SANDRO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112617;RESOLUÇÃO SES;510;REPROVADO PELO ÓRGÃO;PECANHA;HOSPITAL SANTO ANTONIO;23.422.728/0001-07;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;Recurso de custeio para atender as necessidades do Hospital Santo Antônio do município de Peçanha.;FES Custeio;200000,0;A entidade indicada (23.422.728/0001-07 - HOSPITAL SANTO ANTONIO) encontra-se com o CAGEC irregular.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;10.302.157.4457.0001;3;
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SECULT;112627;CELEBRAÇÃO DE CONVÊNIO;98;REPROVADO PELO ÓRGÃO;BELO HORIZONTE;INSTITUTO MOATEM;44.688.697/0001-00;;4322;APOIO A PROJETOS CULTURAIS E TURÍSTICOS EXECUTADOS POR MEIO DE PARCERIAS;INVESTIMENTOS;AQUISIÇÃO DE BENS;4;;Aquisição de bens permanentes.;;90000,0;Conforme disposto na Resolu¿¿o SEGOV n¿ 03, de 01 de fevereiro de 2023, a n¿o apresenta¿¿o da documenta¿¿o exigida pela legisla¿¿o no prazo previsto no artigo 14¿ configura hip¿tese de impedimento de ordem t¿cnica.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;13.392.056.4322.0001;4;
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112628;EXECUÇÃO DIRETA;45;APROVADO;BELO HORIZONTE;BOPE/CPE - Gameleira;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;4;;Aquisição de traje antibombas;Bem Permanente;536630,0;;533481,35;533481,35;0,0;0,0;533481,35;0,0;533481,35;0,0;;;;06.181.034.4558.0001;4;214
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;112629;EXECUÇÃO DIRETA;346;APROVADO;BELO HORIZONTE;03ª Delegacia de Polícia Civil - Venda Nova;18.715.532/0001-70;;4025;GESTÃO DAS UNIDADES POLICIAIS;INVESTIMENTOS;;4;;Aquisição de duas viaturas descaracterizadas;PCMG Viatura Descaracterizada Básica;240000,0;;190000,0;190000,0;95000,0;0,0;190000,0;95000,0;95000,0;0,0;;;;06.181.005.4025.0001;4;198
JOAO LEITE;PSDB;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112630;TRANSFERÊNCIA ESPECIAL;305;APROVADO;ALPINOPOLIS;MUNICIPIO DE ALPINOPOLIS;18.241.752/0001-00;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;4;;;;50000,0;;50000,0;50000,0;50000,0;50000,0;0,0;0,0;0,0;0,0;;9385333,0;0012/2023;04.122.024.2090.0001;4;1062
OSVALDO LOPES;PSD;BLOCO MINAS SÃO MUITAS;4291;FUNDO ESTADUAL DE SAÚDE;FES;112631;RESOLUÇÃO SES;513;APROVADO;CAPELINHA;FUNDAÇÃO HOSPITALAR SÃO VICENTE DE PAULO;15.557.480/0001-63;;4457;IMPLANTAÇÃO DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE;OUTRAS DESPESAS CORRENTES;;3;;Aquisição de Custeio hospitalar.;FES Custeio;2000000,0;;2000000,0;2000000,0;2000000,0;2000000,0;0,0;0,0;0,0;0,0;;9389135,0;8815;10.302.157.4457.0001;3;2961
CORONEL SANDRO;PL;PARTIDO LIBERAL;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112645;EXECUÇÃO DIRETA;37;APROVADO;BELO HORIZONTE;RCAT/CPE - Prado;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;4;;Equipamentos diversos de academia para atender o RCAT.;Bem Permanente;51000,0;;50435,57;50435,57;49516,82;37265,16;13170,41;12251,659999999996;918,75;0,0;;;;06.181.034.4558.0001;4;1516
CORONEL SANDRO;PL;PARTIDO LIBERAL;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112646;EXECUÇÃO DIRETA;37;APROVADO;MONTES CLAROS;11º RPM - Montes Claros;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;4;;Aquisição de escudos balísticos para atender a 11ª CIA IND PE.;Bem Permanente;37375,0;;32500,0;32500,0;0,0;0,0;32500,0;0,0;32500,0;0,0;;;;06.181.034.4558.0001;4;165
CORONEL SANDRO;PL;PARTIDO LIBERAL;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112647;EXECUÇÃO DIRETA;37;APROVADO;BELO HORIZONTE;49º BPM - São João Batista;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;4;;Mobiliário para auditório, alojamento e refeitório.;Bem Permanente;75000,0;;73973,64;73973,64;73973,64;0,0;73973,64;73973,64;0,0;0,0;;;;06.181.034.4558.0001;4;184
CORONEL SANDRO;PL;PARTIDO LIBERAL;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112648;EXECUÇÃO DIRETA;37;APROVADO;JANAUBA;51º BPM - Janaúba;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;4;;Aquisição de uma viatura para atender o 51º BPM Janaúba;Bem Permanente;190000,0;;189017,8;189017,8;154292,0;0,0;189017,8;154292,0;34725,79999999999;0,0;;;;06.181.034.4558.0001;4;Consultar Controle de Execução
BARTO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112658;RESOLUÇÃO SES;409;APROVADO;LAGOA SANTA;FUNDO MUNICIPAL DE SAUDE DE LAGOA SANTA;14.460.308/0001-24;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;CUSTEIO NA ATENÇÃO PRIMARIA ;FES Custeio;500000,0;;500000,0;500000,0;500000,0;500000,0;0,0;0,0;0,0;0,0;;9387597,0;8685;10.301.159.4460.0001;3;4330
BARTO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112659;RESOLUÇÃO SES;409;APROVADO;ONCA DE PITANGUI;FUNDO MUNICIPAL DE SAÚDE DE ONÇA DE PITANGUI;11.240.582/0001-08;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;CUSTEIO NA ATENÇÃO PRIMARIA ;FES Custeio;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;0,0;0,0;0,0;;9387085,0;8685;10.301.159.4460.0001;3;5152
BARTO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112660;RESOLUÇÃO SES;409;APROVADO;JOAO MONLEVADE;FUNDO MUNICIPAL DE SAUDE;12.500.774/0001-60;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;CUSTEIO NA ATENÇÃO PRIMARIA ;FES Custeio;500000,0;;500000,0;500000,0;500000,0;500000,0;0,0;0,0;0,0;0,0;;9387621,0;8685;10.301.159.4460.0001;3;5039
BARTO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112661;RESOLUÇÃO SES;409;APROVADO;LAGOA DA PRATA;FUNDO MUNICIPAL DE SAÚDE DE LAGOA DA PRATA;13.539.516/0001-50;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;CUSTEIO NA ATENÇÃO PRIMARIA ;FES Custeio;200000,0;;200000,0;200000,0;200000,0;200000,0;0,0;0,0;0,0;0,0;;9387603,0;8685;10.301.159.4460.0001;3;5085
BARTO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112662;RESOLUÇÃO SES;409;APROVADO;MONTES CLAROS;FUNDO MUNICIPAL DE SAÚDE DE MONTES CLAROS;11.495.687/0001-08;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;CUSTEIO NA ATENÇÃO PRIMARIA ;FES Custeio;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;0,0;0,0;0,0;;9387038,0;8685;10.301.159.4460.0001;3;5071
BARTO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112663;RESOLUÇÃO SES;409;APROVADO;SAO JOAO DEL REI;FUNDO MUNICIPAL DE SAÚDE DE SÃO JOÃO DEL REI;13.875.318/0001-68;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;CUSTEIO NA ATENÇÃO PRIMARIA ;FES Custeio;500000,0;;500000,0;500000,0;500000,0;500000,0;0,0;0,0;0,0;0,0;;9386908,0;8685;10.301.159.4460.0001;3;4400
BARTO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112664;RESOLUÇÃO SES;409;APROVADO;ITABIRA;FUNDO MUNICIPAL DE SAÚDE DE ITABIRA;11.672.050/0001-31;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;CUSTEIO NA ATENÇÃO PRIMARIA ;FES Custeio;200000,0;;200000,0;200000,0;200000,0;200000,0;0,0;0,0;0,0;0,0;;9387323,0;8685;10.301.159.4460.0001;3;4685
BARTO;PL;PARTIDO LIBERAL;4291;FUNDO ESTADUAL DE SAÚDE;FES;112665;RESOLUÇÃO SES;409;APROVADO;POCOS DE CALDAS;FUNDO MUNICIPAL DE SAÚDE DE POÇOS DE CALDAS;13.702.294/0001-45;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;3;;CUSTEIO NA ATENÇÃO PRIMARIA ;FES Custeio;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;0,0;0,0;0,0;;9387198,0;8685;10.301.159.4460.0001;3;4504
